,Geneid,Ctrl_1,Ctrl_2,Lhx2_HD_EnR_1,Lhx2_HD_EnR_2
39811,ENSMUSG00000047714.14,1090,1448,2197,2419
39812,ENSMUSG00000098403.1,2,5,8,13
39813,ENSMUSG00000022548.14,104,1762,286,290
39814,ENSMUSG00000101234.1,0,0,0,0
39815,ENSMUSG00000046598.14,4207,4672,6040,7742
39816,ENSMUSG00000086645.2,35,24,48,55
39817,ENSMUSG00000022770.16,1888,2203,4429,4261
39818,ENSMUSG00000089011.1,0,0,1,0
39819,ENSMUSG00000022780.5,15,9,13,18
39820,ENSMUSG00000083890.1,9,7,12,11
39821,ENSMUSG00000045625.4,78,92,74,145
39822,ENSMUSG00000107002.1,780,1062,1142,1580
39823,ENSMUSG00000022774.12,2321,2812,3576,4557
39824,ENSMUSG00000022772.11,1264,1400,2277,2497
39825,ENSMUSG00000083853.1,37,39,67,70
39826,ENSMUSG00000096112.1,0,0,0,3
39827,ENSMUSG00000081404.1,8,11,12,13
39828,ENSMUSG00000080928.1,1,2,2,5
39829,ENSMUSG00000022781.8,4071,5187,6580,7483
39830,ENSMUSG00000077460.1,0,0,0,0
39831,ENSMUSG00000023791.14,640,633,1134,1230
39832,ENSMUSG00000035790.15,680,753,985,1268
39833,ENSMUSG00000086146.1,0,0,0,0
39834,ENSMUSG00000052384.13,71,184,166,225
39835,ENSMUSG00000075269.4,0,0,0,0
39836,ENSMUSG00000035764.5,2553,2956,3997,4923
39837,ENSMUSG00000080440.1,3,1,6,4
39838,ENSMUSG00000022787.10,166,220,348,372
39839,ENSMUSG00000088985.1,0,0,0,0
39840,ENSMUSG00000046345.4,1,4,1,0
39841,ENSMUSG00000014074.17,1372,1654,2277,2691
39842,ENSMUSG00000053774.8,4072,4295,7276,8150
39843,ENSMUSG00000079625.2,2,0,2,0
39844,ENSMUSG00000103847.1,2,1,4,0
39845,ENSMUSG00000014075.15,342,397,588,723
39846,ENSMUSG00000005615.14,1819,2335,3348,3892
39847,ENSMUSG00000035699.7,0,0,0,2
39848,ENSMUSG00000052363.7,1,3,0,2
39849,ENSMUSG00000083903.1,0,0,0,1
39850,ENSMUSG00000022797.15,1777,2386,4368,4285
39851,ENSMUSG00000022791.16,2855,2791,4252,4678
39852,ENSMUSG00000075265.4,49,45,80,68
39853,ENSMUSG00000098225.1,0,0,0,0
39854,ENSMUSG00000079620.13,0,0,0,0
39855,ENSMUSG00000035638.14,0,0,0,0
39856,ENSMUSG00000094430.2,0,0,0,0
39857,ENSMUSG00000097256.1,0,0,0,0
39858,ENSMUSG00000035629.17,3361,3794,3887,5515
39859,ENSMUSG00000022800.13,3003,3582,5038,6007
39860,ENSMUSG00000022801.13,3204,3295,4999,4994
39861,ENSMUSG00000091997.1,1,2,11,2
39862,ENSMUSG00000078489.2,0,1,7,6
39863,ENSMUSG00000070225.1,1,1,0,0
39864,ENSMUSG00000035578.15,137,266,62,188
39865,ENSMUSG00000060636.13,2598,4044,2661,7562
39866,ENSMUSG00000022802.2,550,647,760,1001
39867,ENSMUSG00000077844.1,0,1,0,3
39868,ENSMUSG00000088860.1,1,2,0,1
39869,ENSMUSG00000089109.1,0,0,0,0
39870,ENSMUSG00000022807.8,1400,1682,2051,2714
39871,ENSMUSG00000022808.4,1488,1948,2906,3491
39872,ENSMUSG00000097318.1,4,6,20,9
39873,ENSMUSG00000022811.16,4636,4918,7640,8837
39874,ENSMUSG00000035506.16,31,29,45,42
39875,ENSMUSG00000075254.11,1724,1573,6775,4447
39876,ENSMUSG00000085550.1,0,0,0,0
39877,ENSMUSG00000090214.7,0,0,0,0
39878,ENSMUSG00000022824.12,1,1,5,3
39879,ENSMUSG00000022817.14,212,857,561,618
39880,ENSMUSG00000022814.6,782,935,1569,1528
39881,ENSMUSG00000086083.1,13,14,21,21
39882,ENSMUSG00000061751.15,7619,8019,10633,12502
39883,ENSMUSG00000022832.10,0,0,0,0
39884,ENSMUSG00000022833.6,285,254,717,627
39885,ENSMUSG00000022836.10,168,266,291,392
39886,ENSMUSG00000100593.1,0,0,0,0
39887,ENSMUSG00000035376.9,370,499,515,715
39888,ENSMUSG00000022840.8,2956,4313,2845,5051
39889,ENSMUSG00000084581.1,0,0,1,0
39890,ENSMUSG00000034473.13,429,637,811,989
39891,ENSMUSG00000064463.1,0,0,0,0
39892,ENSMUSG00000064769.1,0,0,0,0
39893,ENSMUSG00000022844.7,92,159,142,154
39894,ENSMUSG00000095160.1,0,0,0,0
39895,ENSMUSG00000099429.1,1,0,2,0
39896,ENSMUSG00000052133.16,680,1274,2491,1365
39897,ENSMUSG00000052192.5,5,18,20,19
39898,ENSMUSG00000022848.8,2338,3295,3090,4469
39899,ENSMUSG00000087793.1,1,2,3,0
39900,ENSMUSG00000022849.4,390,500,567,721
39901,ENSMUSG00000097914.1,2,5,9,3
39902,ENSMUSG00000034422.14,25,51,166,103
39903,ENSMUSG00000062279.5,0,0,6,3
39904,ENSMUSG00000049502.16,51,102,368,193
39905,ENSMUSG00000022906.15,45,72,334,188
39906,ENSMUSG00000086324.8,137,92,101,178
39907,ENSMUSG00000022905.12,3703,5147,5882,7406
39908,ENSMUSG00000034379.8,225,265,408,482
39909,ENSMUSG00000003955.7,511,658,1033,1131
39910,ENSMUSG00000075229.10,226,299,595,566
39911,ENSMUSG00000034362.7,0,0,0,1
39912,ENSMUSG00000060956.4,0,0,0,0
39913,ENSMUSG00000088471.1,0,0,0,0
39914,ENSMUSG00000059657.4,4,6,2,3
39915,ENSMUSG00000096342.1,0,0,0,0
39916,ENSMUSG00000079597.1,2,5,1,0
